"","NEP.VOTOS.DIP","NEP.BANCAS.DIP","NEP.VOTOS.SEN","NEP.BANCAS.SEN"
"1995",2.77093841184236,2.5311004784689,2.68468731882612,2.68468731882612
"1997",2.44336422238909,1.96654275092937,2.4349063130991,2.4349063130991
"1999",3.01606432693714,2.15918367346939,2.84403224070998,2.84403224070998
"2001",5.28419899228037,2.50118203309693,5.78025366630712,5.78025366630712
"2003",5.20265093742112,2.29501084598698,4.51651318042487,4.51651318042487
"2005",4.52966003031147,2.83646112600536,4.80574046843128,4.80574046843128
"2007",3.52078762899287,2.56174334140436,3.6663425289301,3.6663425289301
"2009",3.58685831225049,2.9971671388102,3.7095245791477,3.7095245791477
"2011",3.35767899280997,2.52505966587112,2.92194269961615,2.92194269961615
"2013",3.7570843052865,3.09091222268155,3.45983013096392,2.13562091503268
